 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
1985022,202303,1201-1800,ZZZ.Airport,US,,,0,,,VMC,,,Daylight,,,,Air Carrier,B737-700,,2,Part 121,IFR,Passenger,,Parked; Taxi,Vectors,,,,,,,,,,,,,,,,,,,,,,,,,Oil Filler Cap,#1,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Air Carrier,Pilot Flying; Captain,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 133,,Communication Breakdown; Confusion; Human-Machine Interface; Situational Awareness,Party1 Flight Crew; Party2 Maintenance,,1985022,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy,,N,Person Flight Crew; Person Ground Personnel; Person Maintenance,Aircraft In Service At Gate; Taxi,Air Traffic Control Provided Assistance; Flight Crew Returned To Gate; Flight Crew Requested ATC Assistance / Clarification; General Maintenance Action,Human Factors; Procedure; Aircraft,Human Factors,"Prior to boarding; I was notified by the Operations Agent that our aircraft had arrived from ZZZZ a few hours prior; had been serviced for oil by contract maintenance and had been towed to the gate from a remote location. During push back and engine start; one of our wing walkers noticed that the oil fill access panel on the #2 engine had come open. We returned to the gate and I went downstairs to secure the panel. When I looked inside the panel I saw that the oil fill cap on the engine was off and was dangling by the retention chain. I contacted dispatch and maintenance to arrange for contract maintenance to secure the oil fill cap. The Contract Maintenance Technician entered the cockpit and informed me he had secured the oil cap on the #2 Engine and secured the access panel. He also stated that he checked the #1 Engine; just in case and found the nacelle access panel closed and latched but when he opened the panel to check the oil filler cap he found it off and dangling by the retention chain. BOTH OIL FILL CAPS HAD BEEN LEFT OFF OF THE ENGINES AFTER SERVICE. The Maintenance Technician replaced the oil fill cap and closed and latched the access panel. We continued with our scheduled flight.",,,,"B737 Captain reported returning to the gate after the push back crew noticed an engine oil service access door was open. Contract maintenance was called and reported both engine oil service caps were left uninstalled. The oil caps were installed correctly and the flight crew continued in normal operations.",
1985056,202303,1201-1800,ZZZ.Airport,US,,,0,,,VMC,,,,,,,Air Carrier,B777 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 227; Flight Crew Total 25800; Flight Crew Type 855,,Workload; Time Pressure; Troubleshooting,,,1985056,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Flight Crew; Person Gate Agent / CSR,Aircraft In Service At Gate,Flight Crew Overcame Equipment Problem,Procedure; Human Factors,Human Factors,"I was Captain of Air Carrier X [Flight] XXXX from ZZZ to ZZZ1. During pre-flight; I was notified there was an incident with a Dangerous Goods. A passenger had a collapsible motor cart for moving through the airport and wanted to check it into the cargo pit while traveling on our flight. The ramp agents; following Air Carrier X procedure; tried to identify the battery type on the cart. The cart had no identifying markings or easy accessible battery to inspect. I was called to make a decision.I looked at the cart and agreed it wasn't identifiable. We asked the owner who said she had no documentation; but had bought the cart at Store X. She stated she flew many times on Air Carrier Y and never had an issue with them not boarding it. I conferred with [the] Chief Pilot in ZZZ2 by phone and described the situation. Our Dangerous Goods expert in HQ called me and asked if we could get more information or a way to identify the battery. I called local maintenance and asked could they help by loosening the four hex bolts on the power area which they did. We looked the cart up on Store X website and all it identified was that it was "Airline Approved." After opening the closed compartment; we followed the leads to a flat area and opened two more screws where a blue LI battery was located and had 'Hb Li-battery' identifier. Air Carrier X doesn't allow carts checked in cargo compartment with an attached LI battery. The battery must be unattached and carried in cabin only. Our maintenance was able to unhook the battery; secure the containers on the cart and tag the leads. We checked the cart in the cargo hold; and bagged the battery and carried it in cabin. Air Carrier X then notified ZZZ1 and ZZZ3; the final destination; to expect this cart and when it arrived in ZZZ3 to reinstall the battery. Air Carrier X coordinated with the flights and stations involved. I would like to flag this as a possible safety issue as Store X is selling these carts as airline approved; but no markings to allow airlines to comply with the procedures for Dangerous Goods. There is also no easy access to the battery to unattached. Since she stated she's flown many times with no issue or being questioned; seems to imply there were safety issues at the other flights with the cart being checked with a large LI battery in the cargo pit. Air Carrier X has had instances of batteries catching fire and if it is in the cargo it has potential to cause an accident or safety incident.",,,,"B777 Captain reported a passenger attempted to board wheelchair labeled as 'Airline Approved' by vendor. After further research; it was determined the airline's additional restrictions required the battery to be removed and transported in the cabin prior to departure.",
1985062,202303,,,,,,0,,,,,,,,,,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 162; Flight Crew Total 3292; Flight Crew Type 3292,,Other / Unknown,,,1985062,,,,,,,,,,,,Deviation / Discrepancy - Procedural Security; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Passenger Misconduct,,,Person Flight Crew; Person Passenger; Person Flight Attendant,Aircraft In Service At Gate,Flight Crew Overcame Equipment Problem,Human Factors,Human Factors,"Customer had to check her bag due to lack of overhead space. She admitted to Flight Attendant (FA) that she had a lithium ion battery in her bag. I initiated the process of having her bag removed. I asked the passenger where the batteries were; initially thinking that we could remove them; put her bag back on; then depart. She told me that she didn't really know where anything was in the bag because she hadn't packed it herself. This raised a red flag with me. Customer and bag was removed. Customer was removed. I'm curious how many of these batteries are flying around in our cargo compartments. Every toothbrush has a lithium battery. We run out of overhead space all the time. These bags are going into the cargo compartments with these lithium batteries inside. FOM guidance on this doesn't seem to exist.",,,,"B737 Captain reported a passenger informed a Flight Attendant during pre-flight that her gate checked bag contained Lithium Ion batteries. When the bag was retrieved; the passenger stated she had not packed the bag which resulted in both passenger and bag being removed.",
1985078,202303,0601-1200,ZZZ.Airport,US,,,0,,,VMC,,,,,,,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 100; Flight Crew Total 982; Flight Crew Type 982,,Communication Breakdown; Workload; Training / Qualification,Party1 Flight Crew; Party2 Dispatch,,1985078,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Hazardous Material Violation; Deviation / Discrepancy - Procedural FAR,,,Person Flight Crew,In-flight,Flight Crew Overcame Equipment Problem,Human Factors; Procedure,Human Factors,"During our flight; we received a preliminary during preflight Hazmat notice over the ACARS. I made a note to send the new procedure [company] code when we got the final notice as we had done just a day prior. We got the airplane ready and did all of our checks; loaded everyone up; and took off. At cruise; I realized I never sent the code. But then we realized we never received a final Hazmat notice over the ACARS. We checked the received history and there was not one in there and nothing ever came off the printer. Initially we thought maybe they didn't load it.  However we went into the ACARS -load planning; and requested a final hazmat report. It sent us the final report showing the Hazmat was boarded. At which point we did send in the code. We were parked at a gate where the ACARS was slightly intermittent so maybe that could have had something to do with not receiving the final report. We had to call ramp instead of requesting pushback on ACARS because we had a "no com" momentarily. Also we could tell some of our ramp crew was in training so maybe they didn't send the report?",,,,"B737 Captain reported gate departure without required Hazmat documentation. The required documents were obtained during cruise via ACARS.",
1985139,202302,0001-0600,SNA.Tower,CA,,,,700,,VMC,,,,,,Tower SNA,Corporate,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,Part 121,IFR,Passenger,,Final Approach,,Class C SNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAV: Unpiloted Aerial Vehicle,,1,,,,,,,Class C SNA,,,,,,,,,,,,,,,,,,,,Airport / Aerodrome / Heliport; Aircraft / UAS,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,Workload,,,1985139,,,,,,,,,,,,Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,,Person Flight Crew,In-flight,Flight Crew Took Evasive Action; Flight Crew Requested ATC Assistance / Clarification,Human Factors,Human Factors,"We had a very closer encounter (within 100 feet) with a drone at about 700 ft. AGL on a 2 mile final to Runway 20R in SNA. The First Officer (FO) (Pilot Flying (PF)) pushed down below glide slope by approximately a half dot to avoid the drone. The Captain (Pilot Monitoring (PM)) tracked the drone visually; prepared to take emergency control. The drone appeared to rise from below until it was above us; then descended toward us until it passed behind us. It was approximately the size of a small person. The incident was reported to ATC; and an Official met us at the FBO to take our statement and file a report. Cause: Drone operator",,,,"Corporate Captain reported taking evasive action to avoid a UAS on final approach.",
1985153,202303,0601-1200,ZZZ.Airport,US,,,0,,,VMC,,,Daylight,,,,Air Carrier,A319,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Parking Brake,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,Communication Breakdown; Human-Machine Interface; Situational Awareness,Party1 Flight Crew; Party2 Ground Personnel,,1985153,,,,,,,,,,,,Aircraft Equipment Problem Critical; Conflict Ground Conflict; Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Ground Equipment Issue; Ground Event / Encounter Loss Of Aircraft Control,,N,Person Flight Crew,Taxi,Flight Crew Took Evasive Action,Human Factors; Aircraft; Procedure,Human Factors,"Push crew disconnected tow bar from aircraft without telling me to set brakes or hearing my response causing aircraft to roll forward approximately 15 feet under engine power. Ground control cleared our flight to push off of gate. I advised the tug driver that brakes were released and they were cleared to push. During the push back we were given clearance from the tug driver to start engines. I responded that we were starting engines. As the second engine started; the tug and aircraft came to a stop. After a few moments i felt forward movement and saw that the aircraft and the tug moving forward. It appeared we were now being pulled forward by the tug. I quickly realized the tug was pulling away and the aircraft was rolling forward. I stopped the aircraft immediately. The tug continued back to the gate. I called operations on the radio and advised what had happened. I also had the tug driver reconnect his headset to ask why this happened. I was told that he was having trouble with his headset and I must not have heard him tell me to set brakes. I had a brief conversation with him explaining how we narrowly avoided an incident and did advise him that he has to hear my acknowledgment before disconnecting.This resulted from the tug driver not following SOPs. The tug driver has to hear me say brakes set; cleared to disconnect interphone before disconnecting. There's lots of new ground crew working around aircraft for the first time. I recommend more training that stresses the importance of following procedures.",,,,"Captain reported a failure to follow SOPs and communications procedures caused the aircraft to roll forward under engine power when the tug and tow bar were disconnected.",
1985206,202303,1801-2400,ZZZ.Airport,US,,,500,,,VMC,,,Night,,,,FBO,DA40 Diamond Star,,2,Part 91,,Training,,Climb,,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Reciprocating Engine Assembly,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Trainee,Flight Crew Student,,,Troubleshooting,,,1985206,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance,,N,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Aircraft Equipment Problem Dissipated; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Landed As Precaution; Flight Crew Returned To Departure Airport; General Maintenance Action,Aircraft; Human Factors,Aircraft,"Experienced momentary (1-2 seconds) engine roughness and propeller overspeed after takeoff from ZZZ around 500 feet AGL after turning left to heading 140. Student Pilot (SP) was flying when it occurred. Engine Indications immediately stabilized thereafter and did not change for the remainder of the flight. Instructing Pilot (IP) took controls immediately and informed departure that we needed to return to the airport. We were asked if we were an emergency and IP reported no; as we had full engine power and no other issues. We were given vectors back to the field and landed uneventfully on runway XXL. After parking; IP squawked the aircraft. Maintenance was unable to replicate the issue and the aircraft was cleared back into service the following day.",,,,"Pilot reported experiencing momentary engine roughness and propeller overspeed after takeoff. The Flight Instructor immediately assumed the controls and returned to the departure airport.",
1985235,202303,1201-1800,ZZZ.TRACON,US,,10,,5000,,IMC,Turbulence,,Daylight,,,TRACON ZZZ,Personal,Trinidad TB-20,,,Part 91,IFR,Personal,,Initial Climb,Vectors,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Altimeter,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Single Pilot,Flight Crew Flight Instructor; Flight Crew Commercial; Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 30; Flight Crew Total 1500; Flight Crew Type 70,,Confusion; Situational Awareness; Troubleshooting; Human-Machine Interface,,,1985235,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Conflict Airborne Conflict; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Aircraft,,N,Automation Air Traffic Control; Automation Aircraft Other Automation; Person Air Traffic Control; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Overcame Equipment Problem; Flight Crew Requested ATC Assistance / Clarification,Aircraft,Aircraft,"I was on an IFR flight plan from ZZZ to ZZZ1 and being vectored; having been assigned a climbing limit of 7;000 feet. While in the climb and climbing through 5;500 feet indicated; the Departure Controller told us to cap our climb at 5;000 feet for traffic. We informed him that we showed 5;500 feet and that we would start the descent back to 5;000 feet. He stated that would be fine but that he showed us at a lower altitude and not yet reaching 5;000 feet. The Controller asked us to reset and as I was starting the process to reset the Transponder; I noticed that our altimeter setting was wrong. I had plugged in the wrong number on the ground; I suppose. The Kollsman window is small in the TB20; and I needed new glasses (it had been only about two weeks since my last eye exam; and I picked up my new glasses today; the same day as the event). Anyway; we were ultimately assigned 7;000 feet and our indicated altitude and the Controller altitude crosschecked and we flew the rest of the flight uneventfully. I will absolutely confirm the altimeter in the future so this will not happen again. I wish there was a magnifying bubble for the Kollsman window; as there was one commercially available at one time. I've heard other TB20 pilots say the same thing.",,,,"Pilot reported an incorrectly set altimeter setting was responsible for an altitude deviation and the kollsman window on the altimeter was too small to read correctly.",
1985238,202303,1201-1800,ZZZ.Airport,US,,,0,,,VMC,10,,Daylight,,,Tower ZZZ,Personal,Cessna 210 Centurion / Turbo Centurion 210C; 210D,,,Part 91,None,Personal,,Takeoff / Launch,None,,,,,,,,,,,,,,,,,,,,,,,,,Nose Gear,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Pilot Flying; Single Pilot,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Commercial,Flight Crew Last 90 Days 120; Flight Crew Total 3001; Flight Crew Type 1010,,Human-Machine Interface; Troubleshooting,,,1985238,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance; Ground Excursion Runway,,N,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Aircraft Aircraft Damaged; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Regained Aircraft Control; Flight Crew Rejected Takeoff; General Maintenance Action; General Flight Cancelled / Delayed; General Evacuated,Aircraft; Human Factors,Aircraft,"I was cleared for takeoff on Runway XX by ATC. As I was reaching rotation speed (approximately 60 MPH); I felt a substantial shimmy from front of aircraft. I also felt shimmy in rudder pedals. I decided to abort takeoff; and retarded throttle. I heard a loud cracking or snapping noise from the front of aircraft. My nose began to lower; and I applied back pressure on yoke. At that point I began to steer the aircraft off the runway and cut power to the engine by pulling mixture to full lean. Aircraft propeller struck the ground and aircraft came to stop on the pavement of Runway XX on the south or left side of Runway XX. Aircraft was still on the runway. I contacted the Tower and turned off the fuel and magnetos and secured the aircraft.",,,,"C210 Pilot reported a nose gear collapse and subsequent prop strike during the take off roll resulted in the aircraft being disabled on the runway.",
1985244,202303,1801-2400,ZZZ.Airport,US,330,12,,700,,VMC,10,,Daylight,25000,,,Personal,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,,,Part 91,None,Training,,Landing,Visual Approach,Class G ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Reciprocating Engine Assembly,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,Pilot Not Flying,Flight Crew Sport / Recreational,Flight Crew Last 90 Days 27; Flight Crew Total 27; Flight Crew Type 27,,Troubleshooting,,,1985244,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,N,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Landed in Emergency Condition; General Maintenance Action,Aircraft,Aircraft,"Motor sputter; after completing simulated engine out with my Instructor over an abandoned runway; after completing the maneuver; throttled up; met with harsh shaking of the airframe; with reduction in climb power. Due to lack of altitude; Instructor took controls; reduced power to zero and landed safely.",,,,"PA28 Pilot reported encountering a rough running engine during simulated engine out training with a Flight Instructor. The Instructor assumed the controls and made a landing at a nearby abandoned airfield.",
1985259,202303,0601-1200,ZZZ.Airport,US,,,500,,,VMC,,,Daylight,,,Tower ZZZ,Personal,Learjet 45,,,Part 91,IFR,Passenger,,Takeoff / Launch,Vectors,Class C ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Turbine Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Corporate,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor; Flight Crew Multiengine; Flight Crew Instrument,Flight Crew Last 90 Days 65; Flight Crew Total 3339; Flight Crew Type 1840,,Human-Machine Interface; Situational Awareness; Confusion,,,1985259,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter Bird / Animal,,N,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Aircraft Aircraft Damaged; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Landed As Precaution; General Maintenance Action,Aircraft,Aircraft,"I was the Pilot in Command of Aircraft X on a Part 91 IFR flight from ZZZ to ZZZ1. We had 2 Passengers onboard. At approximately XA:40; we suspected we had a bird strike on the nose of the aircraft after takeoff at approximately 500-800 feet AGL. All engine indications were normal; and no vibration was felt. We did notice a foul smell in the cockpit and cabin. We continued the climb to troubleshoot the issue and discuss our options to continue to ZZZ1 or air return back to ZZZ. We ultimately decided to return to ZZZ to have our Director Of Maintenance do an inspection of the aircraft. We briefed our Passengers of our issue and advised them we would be returning to ZZZ. We contacted ZZZ Center with our intentions to return and to advise them we would need some vectors to burn off some fuel to get below our max landing weight. We landed safely about 1 hour after the suspected bird strike. The ground inspection revealed ingestion of birds in the left engine. There was not a visual sign of any bird ingestion on the right engine. Bird strikes could also be seen on the left windshield; the right nose below the right windshield; and the left pitot tube. Our Director of Maintenance; continued with troubleshooting and called the airplane down for further inspection.",,,,"Lear 45 Captain reported a suspected bird strike shortly after takeoff. The crew returned to the departure airport for inspection where significant damage to the aircraft was observed.",
1985260,202303,1801-2400,ZZZ.Airport,US,330,12,,700,,VMC,12,,Daylight,25000,,,FBO,PA-28 Cherokee/Archer/Dakota/Pillan/Warrior,,2,Part 91,None,Training,,Landing,Visual Approach,Class G ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Reciprocating Engine Assembly,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,FBO,Pilot Flying; Instructor,Flight Crew Flight Instructor; Flight Crew Commercial,Flight Crew Last 90 Days 90; Flight Crew Total 350; Flight Crew Type 100,,,,,1985260,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown,,N,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew Landed in Emergency Condition; General Maintenance Action,Aircraft,Aircraft,"A student and I were doing a simulated engine out procedure over an abandoned airstrip. Upon completion of the maneuver we throttled up and the engine sputtered and we were not able to climb. I took controls; cycled the engine; and the Engine reacted in the same manner. I decided to pull power idle and set the plane down on the runway. We landed safely and pulled the plane clear of the runway.",,,,"Flight Instructor reported engine roughness and an inability to climb the aircraft. After cycling the engine with no result; the Flight Instructor assumed the controls and made a forced landing on an abandoned airfield.",
1985264,202303,1201-1800,ZZZ.ARTCC,US,,0,,30000,,IMC,,,Daylight,,,Center ZZZ,Air Taxi,Regional Jet 200 ER/LR (CRJ200),,2,Part 135,IFR,Ferry / Re-Positioning,,Climb,Direct,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,AC Generator/Alternator,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Taxi,Captain; Pilot Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 200; Flight Crew Total 9700; Flight Crew Type 7000,,,,,1985264,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance,,N,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Diverted; Flight Crew Landed As Precaution; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,"Climbing at 280 KIAS and FL300 towards filed altitude of FL330. Amber 'APU OIL TEMP' Message Illuminated on ED-1. Ran QRH. APU operation required for flight with deferred IDG-2 (Integrated Drive Generator). QRH directed us to 'Land at the nearest suitable airport.' We were approximately overhead ZZZ1 when we reached this point with the QRH. We therefore elected to land at ZZZ.",,,,"CRJ-200 Captain reported receiving an APU oil temperature message in flight with Integrated drive generator-2 already deferred. The crew diverted to the nearest suitable airport for landing.",
1985272,202303,1201-1800,ZZZ.Airport,US,,,,8000,,VMC,Turbulence; 10,,Daylight,,,TRACON ZZZ,Personal,RV-3,,,Part 91,None,Personal,,Descent,Direct; Visual Approach,Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Ignition Distribution,,X,Improperly Operated; Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Personal,Captain; Single Pilot,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor,Flight Crew Last 90 Days 180; Flight Crew Total 6500; Flight Crew Type 300,,Human-Machine Interface; Troubleshooting; Confusion,,,1985272,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter Weather / Turbulence,,N,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Diverted; Flight Crew Landed in Emergency Condition; Flight Crew Requested ATC Assistance / Clarification; General Maintenance Action,Aircraft; Human Factors,Human Factors,"While descending into ZZZ from ZZZ1; I experienced light to moderate turbulence (nothing uncommon) while descending into ZZZ; I was a little high so I called ZZZ2 to request a descent through their airspace into ZZZ. Shortly after I checked in; my engine quit. I immediately ran a checklist ABC; airspeed pitched to 90 KIAS; then had to quickly decide where to land; I decided to continue towards ZZZ; I then ran some checks; first I checked mixture (full in) secondary fuel pump on; no change; then i checked throttle; no change; then i switched full tanks (left side had approximately 6 gallons) to right side (approximately 8 gallons;) no change. I then checked ignition; with no change. I then immediately requested priority handling with zzz2 approach. I told them I had a total engine failure and would attempt to glide to ZZZ. I was approximately 5-6 miles out at approx 6;500 feet MSL. I was able to safely glide to ZZZ and was assisted by ground personnel. No damage to myself; aircraft or personal property. The home base for the aircraft is ZZZ; so aircraft was towed back to hangar and the culprit to the engine out was quickly identified. A ground came loose and landed itself onto the Ignition Switch (where both Left and Right Ignitions attach) which caused both ignition systems to ground and in turn shutoff ignition to engine during flight. Approximately 2 weeks prior to this incident the radio (which sits above the ignition switch on the panel) was worked on and the shielding to the wire harness was rewired. I believe it was this work that inadvertently caused the ground wire to become loose and ultimately land itself on the ignition switch and cause it to ground and shutoff both ignitions simultaneously.",,,,"RV-3 Pilot reported an engine failure while descending into the destination airport. After attempting to restart the engine without success; the pilot was able to glide the aircraft into the airport for a safe landing. Upon inspection it was discovered a grounding wire had come loose and shorted against the ignition switch.",
